#{"t_start": 1731416469.2304418, "env_id": "None"}
r,l,t
0.009698,188,3510.934228
0.00279,187,3523.990177
0.020652,83,3530.648981
0.008223,78,3537.106798
0.0,97,3544.965734
0.018315,221,3559.95104
0.01447,196,3573.469317
0.005892,62,3578.906854
0.130393,100,3586.411371
0.029259,32,3590.06296
0.007025,227,3605.559654
0.0,172,3617.589152
0.044062,1001,3680.5128
0.055584,358,3704.133755
0.025001,542,3739.520114
0.0,67,3745.106071
0.00882,181,3757.910482
0.010794,623,4594.413589
0.00784,63,4598.70537
0.003368,71,4601.099269
0.0,274,4608.63963
0.001082,87,4611.146835
0.0,180,4616.383909
0.0,35,4618.279284
0.0,100,4621.504309
0.0,98,4626.344925
0.002372,53,4631.399554
0.001725,149,4642.390065
0.003604,226,4657.926339
0.002349,190,4671.135136
0.002703,207,4685.584306
0.010952,111,4694.184861
0.002393,68,4700.199243
0.005994,87,4707.736612
0.0,237,4723.849265
0.013294,154,4734.881173
0.044274,380,4759.782914
0.00817,45,4764.248549
0.009638,206,4778.525142
0.007088,78,4784.798414
0.0,288,4804.030287
0.015283,361,4828.201862
0.015158,183,4841.102919
0.04518,230,4856.772321
0.030228,175,4869.339362
0.030558,222,4884.627426
0.034778,115,4893.514588
0.051995,34,4897.245366
0.059745,48,4901.871369
0.035151,42,4906.050894
0.019741,32,4909.681534
0.037882,35,4913.478961
0.036718,356,4936.919894
0.025837,135,4946.724031
0.026085,1001,5010.168936
0.080385,158,5021.60382
0.041031,70,5027.656169
0.007217,53,5032.427942
0.049371,85,5039.166229
0.006081,54,5044.429953
0.010466,118,5053.434602
0.008539,104,5061.268247
0.04861,53,5066.074361
0.060066,232,5081.696861
0.011113,70,5087.672351
0.032851,100,5095.943162
0.063128,684,5125.150472
0.026652,157,5129.534675
0.069479,1001,5192.591833
0.063024,1001,5231.36028
0.023178,368,5239.333927
0.004643,68,5241.225682
0.012269,107,5244.085077
0.047357,448,5253.666726
0.0,667,5267.641359
0.024084,115,5270.46857
0.012845,168,5274.70414
0.017856,55,5276.38184
0.008774,235,5281.617376
0.000406,337,5289.275106
0.047885,360,5297.295194
0.019896,89,5299.760313
0.023202,367,5307.872719
0.010929,1001,5330.055698
0.003171,46,5331.572047
0.001611,180,5335.71597
0.009882,395,5344.326328
0.030163,86,5346.593852
0.013134,51,5348.298785
0.024523,253,5354.335477
0.016669,172,5358.47742
0.235003,241,5363.963349
0.003631,44,5365.369495
0.044312,248,5370.848149
0.003099,77,5372.880516
0.034898,421,5381.964755
0.000837,112,5384.776539
0.016312,760,5400.623816
0.0,671,5414.909734
0.006376,352,5422.763725
0.0,301,5429.400726
0.006234,193,5433.86418
0.0,232,5439.067935
0.016265,209,5443.820545
0.000155,192,5448.244092
0.0,766,5464.577965
0.005619,439,5474.088584
0.00487,28,5475.419502
0.003805,149,5479.198755
0.009987,20,5480.265493
0.014608,36,5481.737152
0.008676,77,5483.885885
0.018398,191,5488.413282
0.007079,128,5491.509153
0.000253,36,5492.735081
0.012637,280,5499.072922
0.023373,153,5502.661094
0.017349,54,5504.336538
0.013862,116,5507.495881
0.016313,98,5510.374421
0.050529,61,5512.219481
0.007217,262,5518.649602
0.0,130,5528.792082
0.059081,96,5538.844899
0.017374,228,5553.885791
0.174925,55,5558.91451
0.039412,108,5567.079616
0.014358,111,5575.064153
0.045923,108,5583.041617
0.005677,50,5587.62471
0.093383,238,5605.192815
0.047139,263,5623.667093
0.03353,580,5662.073384
0.116507,1001,5725.639176
0.0,917,5784.544039
0.005596,439,5813.612387
0.0,226,5829.53357
0.0,217,5844.908425
0.087799,314,5866.028687
0.010869,162,5877.555143
0.000672,180,5890.463806
0.016858,135,5900.241644
0.053172,273,5918.537212
0.227409,786,5969.007501
0.039193,295,5983.261086
0.096773,148,5987.00193
0.105621,902,6006.829388
0.072285,335,6014.527385
0.040671,296,6020.976066
0.032573,91,6023.325472
0.032474,38,6024.708513
0.057225,74,6026.823619
0.089416,262,6032.638229
0.020596,35,6034.117096
0.018663,59,6036.033311
0.066124,53,6037.798128
0.01129,70,6040.084939
0.091105,351,6048.262169
0.216841,179,6052.653423
0.012708,130,6055.896544
0.177637,258,6061.671381
0.128464,237,6067.092835
0.028085,544,6079.801745
0.380343,434,6089.097511
0.009394,212,6093.881884
0.666418,594,6106.686594
0.010862,419,6115.668015
0.004849,48,6117.124785
0.005618,1001,6139.480876
0.016876,248,6145.341249
0.023107,868,6164.435215
0.036813,560,6176.648318
0.016334,342,6184.737825
0.033819,1001,6206.087047
0.065761,263,6212.074991
0.063118,400,6220.737662
0.05728,1001,6241.887084
0.088577,107,6244.615593
0.131518,1001,6265.901811
0.055456,228,6271.141829
0.918929,861,6289.126828
0.034592,44,6290.60037
0.078455,1001,6311.390908
0.352856,243,6316.892751
0.00455,87,6319.144755
0.015844,371,6327.181544
0.486149,525,6338.603797
0.035385,71,6340.791195
0.005361,323,6348.118865
0.025105,73,6350.136626
0.015794,623,6363.81501
0.040053,50,6365.482289
0.024959,672,6380.676838
0.038034,435,6390.86793
0.054817,226,6396.014544
0.021284,66,6397.863255
0.038254,45,6399.425854
0.029702,81,6401.800056
0.027645,60,6404.03065
0.05624,69,6406.148193
0.0267,60,6408.044895
0.064152,50,6409.596902
0.123085,127,6412.76613
0.04764,292,6419.23679
0.051002,93,6421.665274
0.05941,189,6426.092344
0.053458,61,6428.058553
0.024939,62,6429.903863
0.052275,55,6431.589062
0.036863,56,6433.523565
0.032647,45,6435.041892
0.137643,553,6447.146507
0.04624,45,6448.598189
0.055354,35,6449.847426
0.048777,42,6451.328711
0.014524,46,6452.744228
0.275358,48,6454.41431
0.036508,131,6457.691944
0.040196,66,6459.608064
0.001624,65,6461.473627
0.147305,1001,6482.49297
1.844803,144,6486.020785
0.000852,152,6489.622811
0.005716,31,6490.79456
0.024349,264,6496.855378
0.030429,116,6499.787639
0.047628,88,6502.38423
0.03619,221,6507.371796
0.041726,292,6513.943302
0.048671,49,6515.454875
0.091137,260,6521.507934
0.013974,353,6529.359421
0.025283,376,6537.711891
0.078019,57,6539.458085
0.098443,840,6557.052117
0.097082,170,6560.986219
0.052144,242,6566.421328
0.071807,567,6578.431591
0.131929,367,6586.433395
0.015209,132,6589.635177
0.013632,1001,6610.809397
0.011415,1001,6631.744013
0.0,645,6645.961279
0.0,358,6654.452708
0.006439,1001,6676.001633
0.058989,256,6681.748883
0.000509,1001,6729.904414
0.023375,1001,6793.79251
0.089565,74,6800.107116
0.10421,68,6805.803838
0.056464,287,6824.985108
0.050552,132,6834.784724
0.01448,230,6850.345824
0.153647,117,6858.883432
0.081363,47,6863.494952
0.091808,72,6869.581906
0.013756,57,6874.582739
0.095455,48,6879.031833
0.197206,97,6886.357487
0.26718,21,6889.12852
0.070748,54,6894.005786
0.0,35,6897.675406
0.0,733,6945.020214
0.05522,91,6952.478985
0.012663,78,6958.823223
0.003277,53,6963.630544
0.003719,49,6968.658591
0.002162,46,6973.02775
0.012171,107,6981.246679
0.036663,64,6986.678057
