#{"t_start": 1731884715.828136, "env_id": "None"}
r,l,t
0.026917,1001,5.024048
0.017912,125,5.777091
0.0,1001,9.024448
0.026178,1001,12.016922
0.013978,592,13.974184
0.004887,1001,17.017456
0.038469,588,18.943966
0.01657,1001,22.07672
0.046629,1001,25.295357
0.018765,1001,28.315877
0.0,522,30.571796
0.03547,1001,33.622966
0.015014,1001,47.917208
0.0152,638,58.387089
0.015548,481,66.389017
0.0,94,68.358181
0.00162,61,69.929564
0.031955,244,74.423236
0.0,37,75.432736
0.0,152,78.362816
0.0,321,83.911013
0.008655,304,89.297997
0.00143,252,93.822425
0.017382,901,108.657692
0.003397,1001,125.961581
0.013914,638,137.516306
0.000904,153,140.538087
0.0,176,143.86785
0.005853,797,157.708594
0.005706,259,162.646329
0.015368,744,177.03333
0.003172,1001,195.985034
0.0,138,199.115299
0.003685,77,201.070119
0.007344,112,203.640454
0.003757,487,213.075514
0.006401,186,217.054639
0.009397,105,219.561102
0.002826,553,230.325458
0.002301,481,239.569652
0.010824,375,246.824735
0.0,368,253.962181
0.005685,964,272.219927
0.04859,117,274.971974
0.024157,1001,294.025782
0.008764,94,296.363863
0.003953,100,298.728018
0.00822,303,304.84202
0.0,316,311.355063
0.007039,667,323.722737
0.004575,1001,343.014558
0.007953,92,345.113496
0.003581,114,347.917026
0.013741,288,354.611029
0.001037,287,360.662953
0.014909,665,371.92429
0.000478,413,379.609162
0.010523,100,381.781967
0.00419,218,386.954262
0.0,105,390.66377
0.035451,329,398.914325
0.0,1001,419.87399
0.008218,394,428.840416
0.012797,1001,449.575184
0.00095,94,452.29565
0.0,950,469.703279
0.023381,413,477.901424
0.02708,852,496.666521
0.006113,469,506.264885
0.015209,1001,526.376341
0.019423,1001,546.423717
0.014149,94,548.808022
0.028013,253,555.421842
0.000893,110,557.832536
0.000967,50,559.180855
0.025614,44,560.485806
0.0,273,566.071584
0.01175,47,567.488526
0.000434,105,570.031055
0.008644,254,575.752193
0.022384,633,589.134819
0.011057,344,596.239374
0.0,334,602.998143
0.443529,388,610.584162
0.01282,218,615.575138
0.010295,122,618.518758
0.0,164,622.333599
0.004331,44,623.699264
0.003185,82,625.878789
0.0,127,630.472777
0.013008,95,633.779436
0.006655,27,634.855681
0.0,51,636.315558
0.012453,59,637.871931
0.016607,109,640.606045
0.010651,304,647.159213
0.001884,217,651.5583
0.002465,152,655.301255
0.005999,866,672.659582
0.018246,405,682.998431
0.016969,75,684.950206
0.002094,74,686.834167
0.010115,30,687.80326
0.022232,127,691.174651
0.030928,108,693.953216
0.021597,457,703.282808
0.0,78,705.208157
0.008281,130,708.466952
0.003789,346,715.610237
0.00403,83,717.917774
0.030017,76,719.969722
0.012477,149,723.458009
0.005395,231,729.304838
0.004177,52,731.227184
0.002987,151,735.056223
0.037535,80,737.26535
0.001712,321,744.950736
0.010374,542,756.517338
0.000511,54,757.988114
0.0,32,759.112711
0.034996,86,761.209975
0.038487,311,767.623766
0.007583,79,769.634173
0.002469,216,774.230695
0.0,35,775.491406
0.001597,524,786.057416
0.000578,40,787.201573
0.0,197,791.468811
0.020992,89,793.774231
0.001584,474,805.079301
0.000673,180,809.499259
0.024983,774,826.042809
0.007566,92,828.25327
0.0,127,831.104158
0.007648,28,832.113191
0.0,188,836.07954
0.003619,350,843.544159
0.016322,1001,864.201473
0.005709,30,865.411547
0.002989,13,866.127631
0.001991,20,866.926733
0.016954,16,867.692553
0.0,12,868.488667
0.011075,75,870.260286
0.005743,22,871.54567
0.0,16,872.5569
0.00177,48,874.465886
0.0,29,875.714736
0.003564,40,877.076868
0.002824,15,877.933372
0.0,12,878.809382
0.004689,17,879.657461
0.0,34,880.913773
0.006497,27,881.982243
0.0,83,884.115709
0.147645,59,885.722917
0.005851,258,890.79872
0.036552,218,895.274165
0.01869,96,897.568008
0.169066,21,898.431766
0.209134,1001,917.704596
0.002943,65,919.209772
0.0,331,926.08413
0.008913,109,929.52612
0.024863,61,931.11627
0.001705,473,941.004804
0.049472,298,948.696369
0.086024,304,954.858445
0.011551,125,958.152947
0.019513,172,962.293503
0.013272,151,966.532901
0.020155,604,979.416031
0.008037,138,983.280472
0.000943,578,995.966596
0.0,375,1004.36687
0.000994,239,1009.696589
0.082936,885,1030.26198
0.003802,122,1033.415239
0.0,89,1035.795522
0.0,445,1046.578768
0.004804,44,1048.175825
0.011413,168,1051.966171
0.009478,328,1058.460198
0.001224,100,1060.588397
0.0,313,1066.676439
0.000333,155,1070.037708
0.005976,193,1074.221737
0.004175,66,1076.05648
0.0,1001,1095.637643
0.008506,160,1099.046813
0.0,513,1108.990394
0.001634,47,1110.229335
0.0,314,1116.231485
0.01015,84,1118.040566
0.0,92,1120.129833
0.0,423,1127.702644
0.077261,248,1132.515907
0.0,750,1147.305388
0.0,51,1148.634055
0.00333,340,1155.784066
0.036854,194,1160.243738
0.0,215,1164.815378
0.011855,277,1170.732409
0.006641,21,1171.624026
0.0,44,1172.921096
0.0,62,1174.474479
0.007414,36,1175.589193
