#{"t_start": 1731442086.092025, "env_id": "None"}
r,l,t
0.007241,1001,16.107954
0.029686,1001,35.493714
0.007293,1001,57.538498
0.025643,1001,67.900451
0.057019,1001,79.051404
0.013516,534,85.13037
0.041634,129,86.610614
0.051288,1001,93.488717
0.017052,1001,101.87619
0.006164,1001,109.265623
0.012063,887,113.857585
0.018019,1001,131.076399
0.014897,370,141.645046
0.024376,240,151.488087
0.0,59,153.368006
0.00767,179,158.873846
1.1e-05,395,172.153379
0.010137,255,181.444487
0.0,487,202.622784
0.001178,206,210.330589
0.000746,547,230.244707
0.0,48,232.580672
0.0,439,246.165047
0.007965,243,254.259974
0.00988,168,259.173489
0.020903,718,281.255819
0.0,157,285.899791
0.0,183,290.973732
0.013182,74,293.619908
0.003568,503,306.630983
0.000968,127,310.275836
0.0,1001,337.370051
0.004879,378,348.157008
0.0,55,350.324077
0.0,105,353.624975
0.0038,98,356.9206
0.0,87,360.272032
0.009311,146,364.79768
0.009522,221,370.526089
0.0,632,385.744526
0.00952,211,391.117243
0.0,188,395.961591
0.0,172,400.471655
0.00214,328,410.685679
0.0,120,414.920553
0.002253,221,422.145451
0.011016,528,437.611678
0.007165,317,445.675863
0.003384,708,462.880991
0.003164,444,473.740567
0.000782,726,491.612831
0.005547,421,503.002861
0.007599,327,511.11365
0.0,228,516.913325
0.0,144,520.967868
0.01131,91,523.883344
0.0,135,528.135008
0.0,36,529.507184
0.006209,119,532.910297
0.0,248,539.413226
0.000508,535,552.463547
0.026899,647,569.116796
0.008684,1001,592.910392
0.011109,270,599.020177
0.016155,612,614.291191
0.040155,1001,637.855069
0.018592,1001,659.017719
0.028012,793,676.12819
0.00155,910,697.38641
0.0,96,699.922368
0.010604,505,711.216129
0.003063,483,721.755205
0.03697,382,730.135888
0.010373,505,741.059145
0.041203,620,754.580667
0.031344,178,758.786137
0.005279,738,775.896654
0.003512,497,786.685345
0.007913,146,790.069213
0.019196,224,795.244535
0.037435,411,805.586489
0.006656,345,814.781986
0.005808,602,829.271814
0.004337,307,836.178815
0.0,1001,857.230839
0.003874,313,864.725143
0.353626,530,876.417693
0.0,1001,898.962214
0.010698,160,902.773605
0.004002,171,906.801025
0.0,44,908.16862
0.001918,136,911.608145
0.00396,127,914.653603
0.0,267,920.650725
0.006067,237,926.023063
0.0,402,934.963879
0.003147,59,936.654898
0.01068,190,941.07099
0.015312,180,945.288038
0.00112,480,956.208996
0.0,719,971.659462
0.004299,236,977.04811
0.012254,32,978.177651
0.000147,315,985.222258
0.0,100,987.738301
0.0,100,990.300909
0.0,1001,1016.380659
0.004436,102,1019.259709
0.014873,130,1022.477878
0.001737,425,1031.856184
0.0,1001,1053.12899
0.0,212,1058.015174
0.008147,92,1060.376952
0.005923,621,1074.055141
0.002115,1001,1095.90539
0.008979,142,1099.313846
0.00805,107,1102.038079
0.012636,132,1105.286196
0.019762,441,1115.049063
0.014333,80,1117.168184
0.0,171,1121.447028
0.003515,127,1124.583737
0.0,173,1128.607794
0.003717,87,1130.960578
0.008272,150,1134.450206
0.00831,72,1136.468776
0.0,636,1151.130291
0.0,325,1158.352534
0.0,297,1165.102183
0.001091,98,1167.722845
0.004904,199,1172.397824
2.2e-05,141,1175.790098
0.001893,71,1177.804651
0.007455,187,1182.170472
0.005131,121,1185.19497
0.0,367,1193.412304
0.00987,74,1195.855388
0.012779,123,1199.777252
0.0,68,1202.119701
7.8e-05,34,1203.534902
0.020363,152,1207.916212
0.009796,637,1223.771008
0.002635,95,1226.188469
0.005291,87,1228.510412
0.001762,146,1232.010578
0.004638,649,1246.207854
0.010312,87,1248.49522
0.011436,558,1261.085413
0.006747,326,1268.642969
0.003578,122,1271.806692
0.660542,182,1276.147571
0.004132,209,1281.32391
0.0,92,1283.899265
0.002903,198,1288.503807
0.02183,74,1290.526332
0.009816,40,1291.87203
0.589468,329,1299.058606
0.007055,131,1302.264237
0.005111,126,1305.279485
0.037469,265,1311.146277
0.002765,113,1313.946103
0.059226,166,1317.841105
0.07812,136,1321.228475
0.012952,352,1328.932678
0.000136,110,1331.667267
0.0,417,1340.683737
0.0,1001,1362.13862
0.007682,54,1363.764498
0.129896,147,1367.277834
0.004117,421,1376.703853
0.025488,317,1383.721605
0.014886,1001,1409.35494
0.0,326,1417.366532
0.0,644,1431.368216
0.002875,82,1433.532934
0.000838,96,1436.014306
0.006285,125,1439.05516
0.004408,1001,1460.301418
0.009628,263,1466.364235
0.005208,531,1478.122389
1.085314,100,1481.045752
0.038557,178,1485.208252
0.014942,159,1488.984065
0.0,49,1490.451727
0.010258,52,1492.004565
0.0,92,1494.455302
0.003347,97,1496.899881
0.0,57,1498.575753
0.00951,129,1501.6841
0.0,33,1502.838173
0.013225,598,1517.830845
0.031418,736,1533.940294
0.011794,839,1552.831276
0.0,116,1555.786278
0.001574,613,1568.992042
0.003731,131,1572.259431
0.0,50,1573.764369
0.0,51,1575.304512
0.003428,74,1577.390371
0.010293,67,1579.231155
0.021571,115,1582.145557
0.0095,105,1584.804063
0.00508,458,1596.640155
