#{"t_start": 1731442086.092025, "env_id": "None"}
r,l,t
0.004796,662,1613.482677
0.004757,267,1619.570474
0.0,174,1623.679838
0.0,153,1627.268866
0.0,77,1629.693707
0.007979,122,1633.053188
0.0,95,1635.541622
0.0,68,1637.360561
0.0,74,1639.409687
0.0,99,1641.927198
0.0,238,1647.317338
0.0,233,1652.57772
0.0,505,1663.490544
0.106611,144,1666.940784
0.0,102,1669.617491
0.0,323,1677.161513
0.0,300,1683.991086
0.002528,295,1690.636867
0.0,109,1693.420927
0.0,360,1701.268434
0.0,640,1715.11988
0.016074,138,1718.515007
0.0,501,1729.289402
0.008378,460,1739.267004
4.1e-05,1001,1762.479363
0.003002,1001,1790.274671
0.0,65,1792.522047
0.007893,1001,1816.282019
0.003509,288,1822.743471
0.0,116,1825.550252
0.0,62,1827.410301
0.0,102,1830.083091
0.0,95,1832.678966
0.00328,216,1837.615172
0.003244,129,1840.702187
0.0,57,1842.443571
0.014244,1001,1863.502743
0.0,52,1865.061029
0.000715,1001,1887.325536
0.041069,288,1893.895585
0.0,163,1897.732376
0.003899,116,1900.651385
0.0,263,1906.536142
0.001609,51,1908.061002
0.0,300,1914.789949
0.0,272,1920.873258
0.004126,112,1923.593912
0.0,887,1942.875578
0.0,39,1944.132536
0.0,198,1948.693121
0.002887,410,1957.609027
0.0,128,1960.642441
0.0,45,1962.255368
0.0,750,1983.579326
0.0,267,1992.315765
0.0,654,2008.362961
0.0,511,2020.158402
0.001953,645,2034.052215
0.001322,101,2036.592646
0.005065,208,2041.339563
0.006596,346,2048.993783
0.024568,256,2054.954902
0.022109,325,2062.189637
0.023494,640,2076.200834
0.0,126,2079.405929
0.017846,296,2086.512301
0.004977,181,2091.195626
0.00233,353,2098.957803
0.004189,261,2104.8094
0.0,63,2106.640983
0.005622,32,2107.766999
0.008976,148,2111.292481
0.0,41,2112.690005
0.006049,106,2115.377607
0.001144,252,2121.618569
0.014502,291,2128.603244
0.0,1001,2150.336635
0.003625,283,2156.704499
0.013602,961,2177.340933
0.004685,150,2181.852357
0.001607,377,2191.993096
0.008446,345,2200.70299
0.00095,144,2204.217471
0.0,20,2205.245503
0.007629,41,2206.569833
0.013929,398,2215.341298
0.000337,61,2217.10045
0.030679,263,2222.975686
0.030173,123,2225.940075
0.015684,266,2231.964975
0.012535,92,2234.342401
0.020571,22,2235.259817
0.026321,61,2237.045752
0.01114,217,2242.003487
0.009255,164,2245.916799
0.009222,40,2247.301384
0.008858,175,2251.361324
0.010642,49,2252.899568
0.028961,576,2265.17345
0.019612,178,2269.491783
0.10601,494,2280.295075
0.001106,87,2282.574905
0.009166,63,2284.414117
0.00493,162,2288.158153
0.011393,183,2292.472321
0.03665,314,2299.484763
0.008492,984,2320.337277
0.042898,446,2330.280507
0.000625,844,2348.642182
0.109923,816,2366.227496
0.012586,29,2367.40911
0.021203,26,2368.464395
0.04293,86,2370.703835
0.012943,250,2377.075461
0.012416,201,2382.902084
0.049193,300,2390.867955
0.041516,40,2392.729901
0.010576,794,2409.816668
0.041409,590,2422.611727
0.04911,256,2428.525013
0.03227,51,2430.121772
0.013894,936,2450.02829
0.022051,84,2452.2468
0.062989,69,2454.147224
0.005935,86,2456.444744
0.000579,77,2458.504256
0.0,27,2459.559426
0.010651,145,2463.040732
0.00971,96,2465.520138
0.008954,415,2474.755662
0.003046,331,2482.08807
0.002313,138,2485.38715
0.051418,293,2491.966425
0.001442,561,2503.915567
0.012739,109,2506.723638
0.000863,511,2517.956862
0.01715,86,2520.215261
0.008048,22,2521.158826
0.04011,148,2524.732585
0.17845,279,2530.953145
0.011179,39,2532.418604
0.0,506,2545.668272
0.0,54,2547.25531
0.0,120,2550.279646
0.001368,164,2554.162855
0.013526,205,2558.875279
0.005499,89,2561.185482
0.016825,385,2569.567868
0.006682,56,2571.382617
0.0,286,2579.446049
0.0,341,2588.767911
0.001297,299,2595.773411
0.070926,850,2614.073399
0.015327,1001,2635.430071
0.0,395,2644.017286
0.011014,244,2649.503854
0.050012,147,2653.093695
0.033154,757,2670.157111
0.055894,1001,2691.73058
0.061398,137,2695.125013
0.014301,524,2706.623092
0.019267,713,2721.774865
0.008225,178,2725.923567
0.0,674,2740.600937
0.0,1001,2761.709643
0.0,479,2773.602731
0.009865,432,2786.369605
0.001048,139,2789.995454
0.0,409,2799.188425
0.039865,1001,2820.418646
0.0,906,2839.614675
0.0,592,2852.396522
0.047674,828,2870.296299
0.0,614,2883.574689
0.06357,203,2888.289477
0.002471,438,2897.806376
0.025384,276,2904.003212
0.041008,102,2906.638128
0.000585,74,2908.637158
0.009807,77,2910.665235
0.003047,21,2911.602719
0.005711,592,2924.414591
0.0,49,2925.871201
0.00435,249,2931.717102
0.000488,722,2947.194041
0.09063,366,2955.320704
0.0,109,2957.988126
0.0,167,2962.043835
0.013251,812,2983.313094
0.0,554,2995.575283
0.002097,309,3002.45028
0.0,1001,3024.311424
0.058342,254,3029.053365
0.0,146,3031.938571
0.300447,204,3035.73559
0.0,1001,3052.993689
0.164865,534,3062.385116
0.069018,328,3068.384444
0.001666,110,3070.667756
0.036802,1001,3091.445031
0.008992,573,3103.496275
0.001806,183,3107.719122
0.011334,82,3109.91286
0.014252,1001,3130.20195
0.024998,524,3140.980746
0.085164,864,3158.504255
0.071977,1001,3179.293583
0.236539,300,3185.785206
0.021584,299,3192.334402
0.013604,68,3194.210664
0.071362,1001,3214.343173
0.012628,466,3223.785299
0.004817,944,3243.196435
0.012338,451,3252.903021
0.00138,391,3261.273221
0.009845,113,3264.148838
0.005482,283,3270.489277
0.203138,307,3277.244482
0.10181,280,3283.323056
0.126199,433,3292.450314
0.046804,1001,3312.929621
0.053068,1001,3333.218778
0.051946,254,3338.745057
0.261032,1001,3358.834333
0.006879,127,3361.881912
0.020448,267,3367.891037
0.027355,164,3371.617558
0.018711,1001,3391.885513
0.008135,547,3403.415092
0.048793,399,3411.815759
0.036494,1001,3432.258377
0.030088,215,3437.055295
0.000427,1001,3457.143958
0.005434,927,3476.06653
0.0,276,3482.112654
0.006581,68,3483.962088
0.0,715,3498.879707
0.0,230,3504.016348
0.002536,471,3513.908192
0.039522,270,3519.792208
0.072901,293,3526.090322
0.067398,393,3534.450209
0.0,81,3536.543216
0.013044,175,3540.712642
0.006717,82,3542.854609
0.049491,347,3550.218486
0.026117,100,3552.704585
0.067546,675,3567.305761
0.064245,722,3582.638735
0.007453,1001,3603.111341
0.056931,162,3606.882633
0.034957,1001,3627.765941
0.077972,184,3632.000469
0.00486,1001,3652.852583
0.030428,1001,3673.5219
0.060205,1001,3693.711841
0.02059,235,3698.998717
0.018308,1001,3719.896844
0.014056,685,3734.395836
0.016481,1001,3754.467204
0.185746,129,3757.551584
0.326072,739,3772.904558
0.001328,148,3776.501973
0.0,811,3793.680093
0.0,179,3797.789412
0.025655,1001,3818.533508
0.015682,276,3824.394593
0.0,167,3828.342906
0.004032,431,3837.480861
0.043856,474,3847.574812
0.009981,1001,3868.632895
0.001763,511,3879.4976
0.050092,214,3884.369414
0.0,67,3886.237978
0.002519,603,3898.781216
0.0,48,3900.272635
0.0,177,3904.340955
0.018678,42,3905.670555
0.018139,98,3908.002664
0.013658,1001,3928.43421
0.005142,38,3929.937428
0.020619,1001,3950.694124
0.118539,129,3953.819662
0.0,172,3957.812094
0.001239,555,3969.433382
0.015418,95,3971.844428
0.008776,185,3976.186901
1.028218,386,3984.446838
0.020365,117,3987.380375
0.021047,131,3990.487899
0.004775,152,3994.123192
0.050855,1001,4016.564185
0.011304,172,4020.554752
0.0,53,4022.149878
0.014009,947,4041.738848
0.004651,80,4043.894267
0.017748,153,4047.495509
0.003331,312,4054.178655
0.004377,666,4067.748366
0.048062,181,4071.974042
0.0,653,4085.37014
0.0,1001,4106.221988
0.021183,270,4112.256214
0.0,328,4119.375909
0.007269,333,4126.510568
0.003831,1001,4146.91467
0.153581,391,4155.029043
0.004738,87,4157.302665
0.007537,1001,4177.549348
0.0,118,4180.500258
0.022405,82,4182.713094
0.001005,1001,4203.578492
0.004307,126,4206.49907
0.0,304,4212.972056
0.0,392,4221.302392
0.0,32,4222.476458
0.0,196,4226.908813
0.0,28,4227.97691
0.0,270,4234.353963
0.0,32,4235.441361
0.0,1001,4256.824888
0.0,57,4258.265543
0.004001,433,4266.409926
0.007754,116,4268.836221
0.0,45,4270.046498
0.018486,44,4271.359248
0.000131,413,4278.930687
0.0,224,4283.338041
0.004203,425,4291.550783
0.0,111,4293.937143
0.003223,41,4295.073715
0.002986,166,4298.407806
0.0,106,4300.637417
0.0,181,4304.243652
0.0,1001,4322.552376
0.000795,162,4326.17678
0.018368,220,4330.640586
0.008531,351,4337.341792
0.040083,1001,4355.444615
0.00218,872,4371.065668
0.005396,321,4377.792513
0.012085,702,4391.040729
0.083797,244,4395.791668
0.042219,490,4404.801657
0.0,89,4406.833654
0.0,298,4412.501707
0.029876,834,4427.845205
0.0,90,4430.022
0.000594,132,4433.791078
0.026332,1001,4454.642275
0.0,314,4460.746799
0.025982,278,4466.351515
0.000419,764,4480.997347
0.0,1001,4499.092876
0.005317,157,4502.274694
0.017113,1001,4520.905149
0.045091,359,4527.554465
0.023874,101,4529.88822
0.019052,224,4534.271716
0.034467,68,4535.888793
0.02053,62,4537.398422
0.0,142,4540.314759
0.243127,671,4552.560556
0.020753,1001,4570.691035
0.013,1001,4589.059401
0.00338,378,4596.362021
0.000368,482,4605.21732
0.011421,365,4612.081307
0.020589,243,4616.780805
0.0,275,4622.082833
0.019877,141,4625.508759
0.004342,96,4628.184782
0.003652,148,4631.750426
0.004359,126,4634.905313
0.009171,124,4638.198695
0.024364,244,4643.604068
0.019919,132,4646.503646
0.001669,1001,4665.120049
0.00114,862,4680.655331
0.017365,620,4691.896292
0.0,220,4696.213861
0.0,57,4697.674736
0.0,92,4699.712398
0.0,682,4712.568212
0.0,83,4714.448214
0.0,1001,4733.364103
0.0,133,4736.142194
0.0,183,4739.723141
0.000272,1001,4757.740832
0.120836,498,4767.034266
0.003064,349,4774.166458
0.031094,98,4776.719046
0.0,50,4778.099768
0.0,96,4780.23909
0.035016,452,4788.610733
0.001613,58,4790.07042
0.016119,834,4805.20409
0.0,43,4806.408225
0.0,49,4807.698045
0.0,65,4809.319366
0.0,78,4811.140821
0.011146,364,4818.167711
0.0,64,4820.209536
0.001916,360,4828.274062
0.022941,71,4830.366494
0.032106,76,4832.637681
0.008293,55,4834.070812
0.020374,180,4837.72527
0.0,54,4839.334694
0.00241,47,4840.755937
0.009696,45,4842.174265
0.003414,186,4845.947635
0.0,55,4847.354712
0.0,42,4848.518919
0.051942,420,4856.437858
0.0,217,4860.727433
0.023163,138,4863.583463
0.00896,625,4875.031061
0.008399,483,4884.058065
0.004269,295,4889.652885
0.043594,295,4895.278532
0.001993,256,4900.221689
0.089235,167,4903.642919
0.032699,1001,4922.144388
0.030617,374,4929.113047
0.0,1001,4947.282675
0.050629,1001,4966.381936
0.009768,1001,4985.124238
0.009198,371,4992.149943
0.013047,1001,5010.165218
0.0,20,5011.009036
0.0,1001,5032.444737
0.0,934,5049.782751
0.01079,1001,5067.935922
0.000752,560,5078.247221
0.019451,847,5093.841251
0.0,256,5098.796252
0.0,64,5100.330185
0.0,62,5101.973879
0.0,63,5103.630404
0.0,39,5104.833546
0.0,211,5109.054144
0.03194,1001,5127.391974
0.0,1001,5145.951445
0.036443,182,5149.594603
0.000144,1001,5167.810367
0.054113,752,5182.054192
0.02026,900,5198.867643
0.0,1001,5220.53376
0.062451,531,5230.435878
0.010832,53,5231.855849
0.0,1001,5250.619146
0.018297,57,5252.053943
0.028034,313,5258.261802
0.003916,898,5274.767468
0.050514,1001,5292.945806
0.029819,436,5301.278491
0.0,1001,5319.711344
0.014199,1001,5338.658551
0.0699,977,5356.497822
0.0,87,5358.492928
0.0,52,5359.971681
0.010214,1001,5379.105152
0.02944,1001,5397.338057
0.022795,1001,5418.667765
0.118675,1001,5437.502337
0.029128,341,5444.050147
0.071278,231,5448.930439
0.000763,188,5452.777416
0.026093,1001,5471.042242
0.099646,1001,5489.354999
0.027748,1001,5508.015524
0.080258,1001,5526.212842
0.078632,1001,5544.566468
0.036794,491,5553.806606
0.744448,700,5567.128048
0.015053,1001,5585.564116
0.714191,754,5599.410267
0.046094,1001,5617.680607
0.011412,1001,5636.291039
0.01278,590,5647.20322
0.210425,864,5664.234722
0.094371,472,5673.99299
0.215622,1001,5692.470941
0.067484,1001,5710.953285
0.006851,1001,5729.433475
0.002766,1001,5747.748381
0.064804,532,5757.662841
0.007997,605,5769.052296
0.002482,676,5781.63602
0.004481,47,5782.937455
0.022836,961,5800.565355
0.143532,160,5803.857688
0.094615,598,5814.990668
0.062248,1001,5833.754534
0.022571,676,5846.205816
0.0,1001,5864.618988
0.178519,1001,5882.863894
0.017503,1001,5901.797919
0.698772,749,5915.528279
0.012895,190,5919.317439
0.581459,89,5921.345525
0.707076,57,5922.800649
0.073995,1001,5941.343755
0.079547,1001,5959.921574
0.081076,1001,5978.578137
0.013769,207,5982.700784
0.010693,763,5996.808803
1.094322,460,6005.366132
0.000577,115,6007.868459
0.015631,73,6009.637169
0.153577,65,6011.205486
0.0,81,6013.117021
0.006601,58,6014.634809
0.001373,78,6016.44101
0.001792,78,6018.246853
0.0,1001,6037.486047
0.04378,982,6055.466461
0.022221,49,6056.761781
0.000476,88,6058.766927
0.033183,95,6060.880384
0.011867,1001,6079.178014
0.033445,1001,6098.196676
0.049441,362,6105.042194
0.059278,1001,6123.409688
0.106601,1001,6141.944124
0.122326,90,6144.016736
0.00586,1001,6162.590595
0.114026,1001,6180.88728
0.035774,1001,6199.408556
0.192683,638,6211.383563
0.067958,679,6224.200081
0.10666,231,6228.926286
0.71808,207,6233.023458
0.06606,79,6234.860146
0.086223,119,6237.490919
0.014901,37,6238.559127
0.032492,826,6254.389474
0.523021,878,6271.209728
0.669487,473,6280.157525
0.36206,305,6286.065507
0.304488,145,6289.357595
1.26926,1001,6308.509361
1.136285,1001,6327.301758
0.874738,1001,6345.723686
0.629392,1001,6364.677544
0.791887,515,6374.352137
0.148899,94,6376.463302
0.22509,622,6387.975628
3.141983,1001,6408.243909
0.386904,359,6416.276869
0.772496,61,6418.029382
1.635354,1001,6436.598798
1.727259,1001,6454.373836
1.095003,1001,6472.111645
1.394104,1001,6490.379706
1.449587,1001,6508.34399
0.198192,1001,6526.336237
0.649498,1001,6544.598125
0.354952,1001,6563.10833
0.24751,145,6566.067021
2.091538,477,6574.997618
1.284355,1001,6593.351492
0.261326,342,6600.809445
0.971272,425,6610.394338
1.378222,446,6619.15078
2.060462,1001,6637.334495
0.126671,1001,6655.297946
0.300415,971,6672.715247
1.203322,1001,6691.020117
0.632641,621,6702.435308
0.955985,858,6718.065395
0.859643,413,6726.157884
2.049652,554,6736.471028
0.187663,608,6747.675483
0.80826,965,6765.709326
2.533393,1001,6783.705606
1.447991,957,6803.820751
2.20855,416,6811.684655
1.196033,353,6818.944334
0.447831,592,6830.27642
0.480543,1001,6848.266772
2.296542,317,6854.310405
2.03607,1001,6872.378317
1.393061,436,6880.841791
1.332929,270,6886.15127
1.452017,1001,6904.05012
0.676812,1001,6922.330067
1.13386,1001,6940.249441
0.254711,767,6955.5529
4.460958,710,6970.513196
2.948764,531,6981.40491
6.061421,737,6999.644145
2.250931,449,7008.943345
1.757492,294,7015.624485
2.202472,459,7025.133958
3.006262,62,7026.796007
2.473668,64,7028.68692
3.7384,1001,7049.038457
0.553761,75,7050.974087
1.171365,60,7052.583021
1.453218,1001,7072.400312
3.155097,1001,7093.780401
2.402186,75,7095.747724
2.854821,1001,7115.686366
4.066032,284,7121.749803
2.301065,777,7137.646737
1.85049,1001,7158.450107
0.008055,43,7160.007473
0.816651,1001,7182.48085
0.645376,1001,7204.739307
0.271706,1001,7225.294648
4.228029,224,7230.25211
8.33076,1001,7250.159993
1.788256,52,7251.668397
2.360638,565,7263.382533
5.33526,1001,7284.037429
3.698159,102,7286.597978
2.254973,267,7292.324585
5.536518,1001,7313.005062
5.741078,1001,7332.952541
2.398535,64,7334.680362
2.583949,269,7340.589814
2.118874,95,7343.252618
2.085881,229,7348.255522
5.25192,628,7360.94635
7.582845,522,7371.621311
6.003007,167,7376.500464
6.833087,380,7385.931469
5.349985,1001,7407.049889
1.396361,98,7409.678295
7.813205,640,7422.840615
10.143118,690,7437.641968
4.293215,222,7442.462559
4.346419,87,7444.6645
7.116043,274,7450.4974
2.679281,171,7454.373452
4.24212,156,7458.013429
6.484995,113,7460.713734
1.795371,48,7462.249349
3.244683,56,7463.911317
1.092008,42,7465.231683
2.807756,85,7467.429954
2.466841,48,7468.866341
2.400893,92,7471.2307
2.849201,55,7473.09695
3.128714,53,7474.679007
1.758952,117,7477.441261
1.400005,99,7479.995459
0.75784,47,7481.403324
8.277367,563,7493.250693
2.646315,202,7497.742558
2.850073,55,7499.368236
2.893536,60,7500.97493
12.14119,228,7506.371414
3.474323,61,7508.028242
1.809548,53,7509.648196
3.335955,59,7511.3283
5.419767,96,7513.654013
4.760585,106,7516.313668
3.779559,65,7518.057698
4.532807,172,7521.953025
3.34955,63,7523.645607
3.557402,59,7525.307874
6.953777,134,7528.459927
2.349392,53,7530.098499
1.921176,83,7532.184488
1.809252,83,7534.349522
2.344043,70,7536.22183
3.60653,216,7541.488365
5.348533,128,7544.450716
2.360993,60,7546.181929
5.834744,1001,7566.3374
1.993814,60,7568.277083
1.762677,60,7570.41131
5.857943,329,7579.070243
1.328281,45,7580.642516
7.313875,252,7586.97257
1.902187,41,7588.355258
1.574774,59,7589.994763
1.965869,49,7591.412573
1.998396,473,7601.209692
0.697742,34,7602.334858
2.552108,61,7604.301129
2.094667,58,7606.092468
2.277817,50,7607.872756
12.504618,514,7618.82747
0.467657,29,7619.943616
3.134505,55,7621.480507
3.261896,51,7622.927311
2.209391,42,7624.276742
1.321395,35,7625.530809
3.604589,66,7627.247714
2.629764,52,7628.779868
2.487017,67,7630.627576
1.43034,62,7632.337003
0.441412,40,7633.584727
1.95319,44,7634.988368
2.916018,108,7637.559103
1.669628,39,7638.827136
1.539834,50,7640.395972
3.160018,56,7641.972458
0.294542,82,7644.001939
1.599687,49,7645.538504
3.656505,127,7648.45218
1.201018,54,7650.133842
1.123741,42,7651.411756
2.381484,54,7652.938878
2.051989,47,7654.337893
2.951003,58,7656.022856
2.088633,44,7657.332103
2.303773,40,7658.631528
2.580677,51,7660.218953
9.684615,155,7663.709194
1.399395,54,7665.382518
6.259227,112,7668.240815
1.034192,46,7669.988156
2.045803,39,7671.377596
2.277778,80,7673.561187
1.939203,39,7674.891405
3.425606,58,7676.587578
2.344139,46,7677.970948
2.236372,42,7679.237672
1.322439,61,7680.996581
2.785074,46,7682.360581
2.016214,48,7683.756752
1.802968,44,7685.161018
3.061465,52,7686.700881
1.928542,41,7687.995481
1.658423,107,7690.660972
1.194525,45,7692.106487
2.678546,56,7693.670744
2.619986,57,7695.297489
4.110492,126,7698.214966
1.135945,56,7699.873602
0.941796,79,7701.964839
1.449245,59,7703.639529
2.011825,1001,7724.030047
0.042268,539,7735.543223
1.491345,163,7739.661386
2.698461,63,7741.441763
0.953105,177,7745.46417
2.65706,111,7748.156609
0.694696,56,7749.77934
4.554421,90,7752.070085
2.134808,61,7753.778428
3.640647,95,7756.143803
3.05506,68,7758.008835
3.389262,62,7759.813353
3.008144,75,7761.807966
3.099776,56,7764.033744
3.155788,67,7766.27323
0.36856,43,7767.93138
2.460199,55,7769.87591
1.364389,113,7773.163525
4.644588,83,7775.81798
1.621187,76,7778.376949
4.594394,199,7782.940922
3.527681,72,7785.022916
2.329053,48,7786.43208
1.35678,52,7787.933038
5.12048,88,7790.496006
2.622806,53,7792.152171
0.641151,63,7794.086509
1.859901,125,7797.078647
3.431604,98,7799.498126
4.053347,163,7803.618462
6.512236,102,7806.245008
0.848682,49,7807.67767
5.64451,80,7809.754934
4.39645,107,7812.443407
1.186066,1001,7833.315826
0.166408,191,7837.635131
0.0,39,7838.896482
2.163907,1001,7860.12602
1.178482,73,7862.104087
2.26593,123,7865.038333
0.019617,138,7868.634625
3.525989,747,7884.169158
7.252598,127,7887.14146
0.850918,105,7890.94205
1.737605,67,7892.88926
1.162897,194,7897.239959
2.705162,126,7900.268514
2.764858,111,7902.964342
2.782359,396,7911.430302
2.718298,116,7914.269732
0.732498,780,7930.499719
3.648065,78,7932.69375
12.856881,355,7940.831864
7.760464,205,7945.493953
3.22288,190,7949.805831
15.820094,433,7959.343661
6.360829,232,7965.749836
0.464389,384,7975.812586
4.051939,68,7978.091148
0.618453,118,7980.938712
3.63082,179,7984.921562
4.669739,96,7987.412193
2.42325,78,7989.661158
6.775938,198,7994.175324
0.82984,1001,8015.225152
1.555117,109,8017.931135
6.666888,249,8023.411381
6.913268,329,8030.767136
1.048412,144,8034.247384
6.361141,111,8036.943055
5.115747,89,8039.329282
1.316177,85,8041.451952
4.40247,292,8047.829519
2.754147,551,8059.561448
5.237002,167,8063.868383
4.266277,78,8066.13904
6.664434,448,8075.684228
2.84381,63,8077.454891
4.910592,213,8082.214654
2.383217,62,8083.934273
4.281295,81,8086.028578
6.686228,285,8092.17364
3.037138,116,8095.008802
8.343294,484,8105.290817
3.187743,80,8107.384708
0.765733,61,8109.054451
1.82171,87,8111.478538
3.184992,96,8114.322136
2.73391,51,8116.01454
5.210212,103,8118.511777
3.744623,541,8130.089432
3.590735,70,8132.064874
7.551339,359,8139.994686
11.748614,374,8148.08964
3.151439,237,8153.373642
8.033312,203,8158.734904
5.653536,256,8165.514365
5.973608,164,8170.060276
5.718934,220,8175.887309
5.281846,96,8178.331449
6.273169,188,8182.462369
3.02886,48,8184.028723
2.960128,762,8200.33534
4.411484,164,8204.144271
2.106081,1001,8225.391877
9.164031,231,8230.64893
2.640343,105,8233.740729
1.369737,43,8235.309508
3.861571,83,8237.686403
7.221385,112,8240.522457
2.089472,107,8243.164921
4.638819,89,8245.529457
5.12766,88,8247.758653
4.259081,81,8249.869461
1.664955,50,8251.456709
9.604302,259,8257.000225
5.027749,174,8261.035425
4.84358,96,8263.646859
15.854939,577,8276.685199
17.367099,540,8288.159143
35.416415,1001,8309.012587
5.432356,176,8313.09261
2.803917,86,8315.30255
13.864021,349,8322.979161
8.401187,310,8329.983065
4.599421,209,8334.890371
3.354641,72,8336.788509
3.998795,68,8338.695946
16.013544,283,8344.919442
5.511483,173,8348.886395
17.000291,378,8358.690313
5.811872,109,8362.14049
2.485068,51,8363.955979
8.994851,316,8372.066856
3.66551,81,8374.201995
5.854233,89,8376.547192
20.695103,405,8385.260795
4.096253,708,8401.897259
3.812011,73,8403.926487
25.775038,954,8423.898139
5.976005,129,8427.07313
8.787854,229,8432.400965
